id,tanggal,roti_sisa,dropping,roti_id_id,toko_id_id
4524,7/1/2021,0,18,BKCK,78105
4576,7/5/2021,0,2,BKCK,78105
4628,7/8/2021,0,19,BKCK,78105
4680,7/12/2021,1,3,BKCK,78105
4732,7/15/2021,0,20,BKCK,78105
4784,7/19/2021,2,2,BKCK,78105
4836,7/22/2021,0,21,BKCK,78105
4888,7/26/2021,0,0,BKCK,78105
4940,7/29/2021,0,22,BKCK,78105
4992,8/2/2021,0,1,BKCK,78105
5044,8/5/2021,2,23,BKCK,78105
5096,8/9/2021,0,2,BKCK,78105
5148,8/12/2021,0,21,BKCK,78105
5200,8/16/2021,0,3,BKCK,78105
5252,8/19/2021,1,22,BKCK,78105
5304,8/23/2021,0,4,BKCK,78105
5356,8/26/2021,0,21,BKCK,78105
5408,8/30/2021,0,5,BKCK,78105
5460,9/2/2021,0,22,BKCK,78105
5512,9/6/2021,2,6,BKCK,78105
5564,9/9/2021,0,23,BKCK,78105
5616,9/13/2021,0,4,BKCK,78105
5668,9/16/2021,1,24,BKCK,78105
5720,9/20/2021,0,5,BKCK,78105
5772,9/23/2021,0,23,BKCK,78105
5824,9/27/2021,2,6,BKCK,78105
5876,9/30/2021,0,24,BKCK,78105
5928,10/4/2021,1,4,BKCK,78105
5980,10/7/2021,0,25,BKCK,78105
6032,10/11/2021,0,3,BKCK,78105
6084,10/14/2021,0,26,BKCK,78105
6136,10/18/2021,0,4,BKCK,78105
6188,10/21/2021,0,27,BKCK,78105
6240,10/25/2021,2,5,BKCK,78105
6292,10/28/2021,0,28,BKCK,78105
6344,11/1/2021,0,3,BKCK,78105
6396,11/4/2021,0,29,BKCK,78105
6448,11/8/2021,1,4,BKCK,78105
6500,11/11/2021,0,30,BKCK,78105
6552,11/15/2021,1,3,BKCK,78105
6604,11/18/2021,0,31,BKCK,78105
6656,11/22/2021,1,2,BKCK,78105
6708,11/25/2021,0,32,BKCK,78105
6760,11/29/2021,0,1,BKCK,78105
6812,12/2/2021,0,33,BKCK,78105
6864,12/6/2021,0,2,BKCK,78105
6916,12/9/2021,0,34,BKCK,78105
6968,12/13/2021,2,3,BKCK,78105
7020,12/16/2021,0,35,BKCK,78105
7072,12/20/2021,0,1,BKCK,78105
7124,12/23/2021,2,36,BKCK,78105
7176,12/27/2021,0,2,BKCK,78105
7228,12/30/2021,0,34,BKCK,78105
7280,1/3/2022,0,3,BKCK,78105
7332,1/6/2022,0,35,BKCK,78105
7384,1/10/2022,0,4,BKCK,78105
7436,1/13/2022,2,36,BKCK,78105
7488,1/17/2022,0,5,BKCK,78105
7540,1/20/2022,1,34,BKCK,78105
7592,1/24/2022,0,6,BKCK,78105
7644,1/27/2022,0,33,BKCK,78105
7696,1/31/2022,2,7,BKCK,78105
7748,2/3/2022,0,34,BKCK,78105
7800,2/7/2022,1,5,BKCK,78105
7852,2/10/2022,0,35,BKCK,78105
7904,2/14/2022,0,4,BKCK,78105
7956,2/17/2022,1,36,BKCK,78105
8008,2/21/2022,1,5,BKCK,78105
8060,2/24/2022,0,35,BKCK,78105
8112,2/28/2022,1,4,BKCK,78105
8164,3/3/2022,0,36,BKCK,78105
51,9/3/2020,1,3,BKOR,78105
103,9/7/2020,0,4,BKOR,78105
155,9/10/2020,0,2,BKOR,78105
207,9/14/2020,0,5,BKOR,78105
259,9/17/2020,0,3,BKOR,78105
311,9/21/2020,0,6,BKOR,78105
363,9/24/2020,0,4,BKOR,78105
415,9/28/2020,0,7,BKOR,78105
467,10/1/2020,0,5,BKOR,78105
519,10/5/2020,1,8,BKOR,78105
571,10/8/2020,0,6,BKOR,78105
623,10/12/2020,0,7,BKOR,78105
675,10/15/2020,0,7,BKOR,78105
727,10/19/2020,0,8,BKOR,78105
779,10/22/2020,1,8,BKOR,78105
831,10/26/2020,1,9,BKOR,78105
883,10/29/2020,0,7,BKOR,78105
935,11/2/2020,1,8,BKOR,78105
987,11/5/2020,0,8,BKOR,78105
1039,11/9/2020,1,7,BKOR,78105
1091,11/12/2020,0,9,BKOR,78105
1143,11/16/2020,0,6,BKOR,78105
1195,11/19/2020,1,10,BKOR,78105
1247,11/23/2020,0,7,BKOR,78105
1299,11/26/2020,2,9,BKOR,78105
1351,11/30/2020,0,8,BKOR,78105
1403,12/3/2020,2,7,BKOR,78105
1455,12/7/2020,0,9,BKOR,78105
1507,12/10/2020,0,5,BKOR,78105
1559,12/14/2020,0,10,BKOR,78105
1611,12/17/2020,1,6,BKOR,78105
1663,12/21/2020,0,11,BKOR,78105
1715,12/24/2020,0,5,BKOR,78105
